"","ga_beta","ga_p","ga_se","label","ga_p_adj","hemisphere"
"smri_vol_cdk_linguallh.t2_centiles",0.0120522090723202,0.246902615234671,0.0104077801450475,"lingual",0.393928104896929,"L"
"smri_vol_cdk_lingualrh.t2_centiles",-0.00264309606203215,0.796867123106034,0.0102679079450079,"lingual",0.856846368931219,"R"
"smri_vol_cdk_lobfrlh.t2_centiles",0.00601856390264741,0.475124738707544,0.0084269620736175,"lateralorbitofrontal",0.609134280394288,"L"
"smri_vol_cdk_lobfrrh.t2_centiles",0.0210577636887976,0.0141044309251795,0.00857682287344164,"lateralorbitofrontal",0.0440763466411858,"R"
"smri_vol_cdk_locclh.t2_centiles",-0.0329900733166084,0.0007114163580073,0.00974132005275418,"lateraloccipital",0.003233710718215,"L"
"smri_vol_cdk_loccrh.t2_centiles",-0.0323310955427633,0.000859613533449495,0.00969664137419635,"lateraloccipital",0.00373745014543259,"R"
"smri_vol_cdk_mdtmlh.t2_centiles",0.0544340732118049,1.89116737250145e-09,0.00905022755876322,"middletemporal",9.45583686250725e-08,"L"
"smri_vol_cdk_mdtmrh.t2_centiles",0.0571552782037173,3.51510276994772e-11,0.00861606431883929,"middletemporal",3.51510276994772e-09,"R"
"smri_vol_cdk_mobfrlh.t2_centiles",-0.0138521695704752,0.151356700215914,0.00965369342805899,"medialorbitofrontal",0.280290185585026,"L"
"smri_vol_cdk_mobfrrh.t2_centiles",-0.00888741294256892,0.338618893396011,0.00928711545747409,"medialorbitofrontal",0.503979282219629,"R"
"smri_vol_cdk_paracnlh.t2_centiles",-0.00848966874855265,0.393421971328541,0.00994712700153652,"paracentral",0.538934207299372,"L"
"smri_vol_cdk_paracnrh.t2_centiles",0.00952433526445872,0.347745704731544,0.0101427114042616,"paracentral",0.503979282219629,"R"
"smri_vol_cdk_parahpallh.t2_centiles",-0.0398377584180265,0.000255703662513761,0.0108896578768364,"parahippocampal",0.00170469108342507,"L"
"smri_vol_cdk_parahpalrh.t2_centiles",-0.00885001595638254,0.418752674302449,0.010944405927944,"parahippocampal",0.558336899069932,"R"
"smri_vol_cdk_parsobislh.t2_centiles",0.0154291760603705,0.128041423071955,0.0101371226481093,"parsorbitalis",0.25608284614391,"L"
"smri_vol_cdk_parsobisrh.t2_centiles",0.0158827193128691,0.126065903630871,0.0103810011598979,"parsorbitalis",0.25608284614391,"R"
"smri_vol_cdk_parsopclh.t2_centiles",0.00947207396321623,0.370797567000442,0.0105828901590391,"parsopercularis",0.518740955256571,"L"
"smri_vol_cdk_parsopcrh.t2_centiles",0.00230976232812858,0.826649671455995,0.0105464513615446,"parsopercularis",0.861093407766661,"R"
"smri_vol_cdk_parstgrislh.t2_centiles",0.0389406405708655,0.000321073059646342,0.0108185703789788,"parstriangularis",0.00178373922025745,"L"
"smri_vol_cdk_parstgrisrh.t2_centiles",0.0378029646275346,0.000527892879688191,0.0109012572759793,"parstriangularis",0.00263946439844095,"R"
"smri_vol_cdk_pclh.t2_centiles",0.000634379329985373,0.942404511945264,0.00878026682842007,"precuneus",0.962179578505353,"L"
"smri_vol_cdk_pcrh.t2_centiles",-0.00759973300044705,0.373493487784731,0.00853898555464581,"precuneus",0.518740955256571,"R"
"smri_vol_cdk_pericclh.t2_centiles",-0.0227055653213687,0.0405265671057882,0.0110828465669056,"pericalcarine",0.0988452856238737,"L"
"smri_vol_cdk_periccrh.t2_centiles",-0.0348817606650419,0.00150629651932769,0.0109874437787755,"pericalcarine",0.00602518607731077,"R"
"smri_vol_cdk_postcnlh.t2_centiles",0.0235784890680322,0.00908345064374154,0.00903526273108676,"postcentral",0.0324408951562198,"L"
"smri_vol_cdk_postcnrh.t2_centiles",0.0105735242103537,0.248174706085065,0.00915545286211084,"postcentral",0.393928104896929,"R"
"smri_vol_cdk_precnlh.t2_centiles",0.00845732664405423,0.346539412683667,0.00898392100423445,"precentral",0.503979282219629,"L"
"smri_vol_cdk_precnrh.t2_centiles",0.0026929143813269,0.770043482808032,0.00921192776673964,"precentral",0.846201629459376,"R"
"smri_vol_cdk_ptcatelh.t2_centiles",0.00662142783676154,0.506748422486266,0.00997289263281271,"posteriorcingulate",0.617147612940645,"L"
"smri_vol_cdk_ptcaterh.t2_centiles",0.00497142678109599,0.617950130391598,0.0099671863044792,"posteriorcingulate",0.727000153401881,"R"
"smri_vol_cdk_rracatelh.t2_centiles",0.0218679232635364,0.0267766515338026,0.00987169584626548,"rostralanteriorcingulate",0.0704648724573752,"L"
"smri_vol_cdk_rracaterh.t2_centiles",0.0234687544704369,0.0263651705717855,0.0105655637724112,"rostralanteriorcingulate",0.0704648724573752,"R"
"smri_vol_cdk_rrmdfrlh.t2_centiles",-0.0103873281973352,0.254252535861179,0.00911031314222428,"rostralmiddlefrontal",0.397269587283091,"L"
