"label","hemi","map","value","rank","mapname"
"parstriangularis","left","AllometricScaling.PNC20mm",1.0219349861145,45,"Allometric Scaling"
"parstriangularis","left","BigBrain.Histology",-0.0254942048341036,33,"Externopyramidization"
"parstriangularis","left","CBF",68.3478775024414,56,"Cerebral Blood Flow"
"parstriangularis","left","Cortical.Thickness",2.61077880859375,20,"Cortical Thickness"
"parstriangularis","left","PC1.AHBA",-0.0484161265194416,34,"Gene Expression"
"parstriangularis","left","PC1.Neurosynth",0.000398951000533998,46,"Neurosynth"
"parstriangularis","left","PET.AG",0.420631736516953,63,"Aerobic Glycosis"
"parstriangularis","left","T1T2ratio",1.28540062904358,31,"Anatomical Hierarchy"
"parstriangularis","left","SensorimotorAssociation_Axis",45591.37109375,52,"Sensorimotor-Association Axis"
"parstriangularis","left","G1.fMRI_1",3.27201747894287,50,"Functional Hierarchy"
"parstriangularis","left","Evolution.Expansion",1.5730619430542,68,"Evolutionary Expansion"
"postcentral","left","AllometricScaling.PNC20mm",1.0368971824646,50,"Allometric Scaling"
"postcentral","left","BigBrain.Histology",0.189782738685608,56,"Externopyramidization"
"postcentral","left","CBF",57.0614242553711,17,"Cerebral Blood Flow"
"postcentral","left","Cortical.Thickness",2.21024012565613,7,"Cortical Thickness"
"postcentral","left","PC1.AHBA",1.00127279758453,54,"Gene Expression"
"postcentral","left","PC1.Neurosynth",-0.0108658019453287,1,"Neurosynth"
"postcentral","left","PET.AG",-0.072783000767231,33,"Aerobic Glycosis"
"postcentral","left","T1T2ratio",1.43415868282318,52,"Anatomical Hierarchy"
"postcentral","left","SensorimotorAssociation_Axis",10188.375,10,"Sensorimotor-Association Axis"
"postcentral","left","G1.fMRI_1",-4.98388385772705,2,"Functional Hierarchy"
"postcentral","left","Evolution.Expansion",0.462481707334518,36,"Evolutionary Expansion"
"precentral","left","AllometricScaling.PNC20mm",0.987586617469788,36,"Allometric Scaling"
"precentral","left","BigBrain.Histology",0.226567953824997,58,"Externopyramidization"
"precentral","left","CBF",61.2877159118652,35,"Cerebral Blood Flow"
"precentral","left","Cortical.Thickness",2.70670557022095,33,"Cortical Thickness"
"precentral","left","PC1.AHBA",0.646789610385895,45,"Gene Expression"
"precentral","left","PC1.Neurosynth",-0.00954861752688885,5,"Neurosynth"
"precentral","left","PET.AG",0.110101066529751,49,"Aerobic Glycosis"
"precentral","left","T1T2ratio",1.44858908653259,55,"Anatomical Hierarchy"
"precentral","left","SensorimotorAssociation_Axis",16673.248046875,16,"Sensorimotor-Association Axis"
"precentral","left","G1.fMRI_1",-3.89261388778687,11,"Functional Hierarchy"
"precentral","left","Evolution.Expansion",-0.148541107773781,17,"Evolutionary Expansion"
"rostralmiddlefrontal","left","AllometricScaling.PNC20mm",1.14747500419617,62,"Allometric Scaling"
"rostralmiddlefrontal","left","BigBrain.Histology",-0.0840239897370338,24,"Externopyramidization"
"rostralmiddlefrontal","left","CBF",71.7846755981445,64,"Cerebral Blood Flow"
"rostralmiddlefrontal","left","Cortical.Thickness",2.55438446998596,15,"Cortical Thickness"
"rostralmiddlefrontal","left","PC1.AHBA",-0.13843597471714,33,"Gene Expression"
"rostralmiddlefrontal","left","PC1.Neurosynth",0.000185041368240491,40,"Neurosynth"
"rostralmiddlefrontal","left","PET.AG",0.480555266141891,64,"Aerobic Glycosis"
"rostralmiddlefrontal","left","T1T2ratio",1.23207426071167,23,"Anatomical Hierarchy"
"rostralmiddlefrontal","left","SensorimotorAssociation_Axis",50624.96484375,63,"Sensorimotor-Association Axis"
"rostralmiddlefrontal","left","G1.fMRI_1",2.94123101234436,47,"Functional Hierarchy"
"rostralmiddlefrontal","left","Evolution.Expansion",1.25102365016937,56,"Evolutionary Expansion"
"superiorfrontal","left","AllometricScaling.PNC20mm",1.0706604719162,54,"Allometric Scaling"
"superiorfrontal","left","BigBrain.Histology",0.00187137676402926,38,"Externopyramidization"
"superiorfrontal","left","CBF",58.0111694335938,21,"Cerebral Blood Flow"
"superiorfrontal","left","Cortical.Thickness",2.82869219779968,46,"Cortical Thickness"
"superiorfrontal","left","PC1.AHBA",-0.387642055749893,23,"Gene Expression"
"superiorfrontal","left","PC1.Neurosynth",-0.0027966636698693,17,"Neurosynth"
"superiorfrontal","left","PET.AG",0.396476686000824,60,"Aerobic Glycosis"
"superiorfrontal","left","T1T2ratio",1.22865676879883,20,"Anatomical Hierarchy"
"superiorfrontal","left","SensorimotorAssociation_Axis",43341.4765625,48,"Sensorimotor-Association Axis"
"superiorfrontal","left","G1.fMRI_1",2.36348795890808,45,"Functional Hierarchy"
"superiorfrontal","left","Evolution.Expansion",0.752205967903137,44,"Evolutionary Expansion"
"superiorparietal","left","AllometricScaling.PNC20mm",1.0504195690155,51,"Allometric Scaling"
"superiorparietal","left","BigBrain.Histology",0.149124354124069,51,"Externopyramidization"
"superiorparietal","left","CBF",57.5468711853027,19,"Cerebral Blood Flow"
"superiorparietal","left","Cortical.Thickness",2.28512644767761,10,"Cortical Thickness"
"superiorparietal","left","PC1.AHBA",0.746387243270874,51,"Gene Expression"
"superiorparietal","left","PC1.Neurosynth",-0.00509409047663212,9,"Neurosynth"
"superiorparietal","left","PET.AG",0.108269862830639,48,"Aerobic Glycosis"
"superiorparietal","left","T1T2ratio",1.36358511447906,49,"Anatomical Hierarchy"
"superiorparietal","left","SensorimotorAssociation_Axis",16430.22265625,14,"Sensorimotor-Association Axis"
"superiorparietal","left","G1.fMRI_1",-3.13615155220032,18,"Functional Hierarchy"
"superiorparietal","left","Evolution.Expansion",0.347721874713898,31,"Evolutionary Expansion"
"superiortemporal","left","AllometricScaling.PNC20mm",1.02682101726532,47,"Allometric Scaling"
"superiortemporal","left","BigBrain.Histology",0.0152855422347784,40,"Externopyramidization"
"superiortemporal","left","CBF",64.7034301757812,46,"Cerebral Blood Flow"
"superiortemporal","left","Cortical.Thickness",2.8560094833374,49,"Cortical Thickness"
"superiortemporal","left","PC1.AHBA",-0.385557025671005,24,"Gene Expression"
"superiortemporal","left","PC1.Neurosynth",-0.0011762510985136,21,"Neurosynth"
"superiortemporal","left","PET.AG",-0.390220373868942,10,"Aerobic Glycosis"
"superiortemporal","left","T1T2ratio",1.31281673908234,41,"Anatomical Hierarchy"
"superiortemporal","left","SensorimotorAssociation_Axis",32456.61328125,30,"Sensorimotor-Association Axis"
"superiortemporal","left","G1.fMRI_1",-1.00294280052185,27,"Functional Hierarchy"
"superiortemporal","left","Evolution.Expansion",1.02565050125122,51,"Evolutionary Expansion"
"supramarginal","left","AllometricScaling.PNC20mm",1.21224880218506,68,"Allometric Scaling"
"supramarginal","left","BigBrain.Histology",-0.0153381461277604,35,"Externopyramidization"
"supramarginal","left","CBF",62.4982986450195,41,"Cerebral Blood Flow"
"supramarginal","left","Cortical.Thickness",2.65287065505981,24,"Cortical Thickness"
"supramarginal","left","PC1.AHBA",0.310377776622772,40,"Gene Expression"
"supramarginal","left","PC1.Neurosynth",-0.00620228983461857,7,"Neurosynth"
"supramarginal","left","PET.AG",-0.0437465161085129,34,"Aerobic Glycosis"
"supramarginal","left","T1T2ratio",1.28089618682861,30,"Anatomical Hierarchy"
"supramarginal","left","SensorimotorAssociation_Axis",34836.609375,36,"Sensorimotor-Association Axis"
"supramarginal","left","G1.fMRI_1",-0.369479119777679,28,"Functional Hierarchy"
"supramarginal","left","Evolution.Expansion",1.46330332756042,64,"Evolutionary Expansion"
"temporalpole","left","AllometricScaling.PNC20mm",0.517814874649048,1,"Allometric Scaling"
"temporalpole","left","BigBrain.Histology",-0.340827584266663,5,"Externopyramidization"
"temporalpole","left","CBF",7.3943657875061,3,"Cerebral Blood Flow"
"temporalpole","left","Cortical.Thickness",3.29449415206909,66,"Cortical Thickness"
"temporalpole","left","PC1.AHBA",-2.31551027297974,1,"Gene Expression"
"temporalpole","left","PC1.Neurosynth",0.00129264546558261,61,"Neurosynth"
"temporalpole","left","PET.AG",-0.378707945346832,12,"Aerobic Glycosis"
"temporalpole","left","T1T2ratio",1.02519166469574,1,"Anatomical Hierarchy"
"temporalpole","left","SensorimotorAssociation_Axis",40544.00390625,46,"Sensorimotor-Association Axis"
"temporalpole","left","G1.fMRI_1",5.25104379653931,62,"Functional Hierarchy"
"temporalpole","left","Evolution.Expansion",0.378137201070786,34,"Evolutionary Expansion"
"transversetemporal","left","AllometricScaling.PNC20mm",1.11028945446014,57,"Allometric Scaling"
"transversetemporal","left","BigBrain.Histology",0.267081618309021,62,"Externopyramidization"
"transversetemporal","left","CBF",78.5754089355469,67,"Cerebral Blood Flow"
"transversetemporal","left","Cortical.Thickness",2.63003420829773,22,"Cortical Thickness"
"transversetemporal","left","PC1.AHBA",1.17164623737335,55,"Gene Expression"
"transversetemporal","left","PC1.Neurosynth",-0.00115701963659376,22,"Neurosynth"
"transversetemporal","left","PET.AG",-0.187958598136902,20,"Aerobic Glycosis"
"transversetemporal","left","T1T2ratio",1.64869844913483,67,"Anatomical Hierarchy"
"transversetemporal","left","SensorimotorAssociation_Axis",19090.3203125,18,"Sensorimotor-Association Axis"
"transversetemporal","left","G1.fMRI_1",-3.68119955062866,14,"Functional Hierarchy"
"transversetemporal","left","Evolution.Expansion",0.28303250670433,24,"Evolutionary Expansion"
"insula","left","AllometricScaling.PNC20mm",1.01521396636963,43,"Allometric Scaling"
"insula","left","BigBrain.Histology",-0.0719572082161903,26,"Externopyramidization"
"insula","left","CBF",59.5804557800293,26,"Cerebral Blood Flow"
"insula","left","Cortical.Thickness",3.1232635974884,62,"Cortical Thickness"
"insula","left","PC1.AHBA",-1.16407871246338,10,"Gene Expression"
"insula","left","PC1.Neurosynth",-0.00217085680924356,19,"Neurosynth"
"insula","left","PET.AG",-0.379618525505066,11,"Aerobic Glycosis"
"insula","left","T1T2ratio",1.22572982311249,18,"Anatomical Hierarchy"
"insula","left","SensorimotorAssociation_Axis",32684.234375,31,"Sensorimotor-Association Axis"
"insula","left","G1.fMRI_1",-2.63801884651184,20,"Functional Hierarchy"
"insula","left","Evolution.Expansion",0.312429308891296,26,"Evolutionary Expansion"
"caudalanteriorcingulate","left","AllometricScaling.PNC20mm",0.991540193557739,38,"Allometric Scaling"
"caudalanteriorcingulate","left","BigBrain.Histology",-0.0507962964475155,29,"Externopyramidization"
"caudalanteriorcingulate","left","CBF",60.2474365234375,33,"Cerebral Blood Flow"
"caudalanteriorcingulate","left","Cortical.Thickness",2.89731621742249,53,"Cortical Thickness"
"caudalanteriorcingulate","left","PC1.AHBA",NA,65,"Gene Expression"
"caudalanteriorcingulate","left","PC1.Neurosynth",-0.00414560455828905,11,"Neurosynth"
"caudalanteriorcingulate","left","PET.AG",-0.170366898179054,22,"Aerobic Glycosis"
"caudalanteriorcingulate","left","T1T2ratio",1.14318609237671,4,"Anatomical Hierarchy"
"caudalanteriorcingulate","left","SensorimotorAssociation_Axis",36977.7265625,40,"Sensorimotor-Association Axis"
"caudalanteriorcingulate","left","G1.fMRI_1",-1.81861340999603,23,"Functional Hierarchy"
"caudalanteriorcingulate","left","Evolution.Expansion",0.853052616119385,46,"Evolutionary Expansion"
"cuneus","left","AllometricScaling.PNC20mm",0.807321071624756,9,"Allometric Scaling"
"cuneus","left","BigBrain.Histology",0.30057680606842,64,"Externopyramidization"
"cuneus","left","CBF",60.1062545776367,31,"Cerebral Blood Flow"
"cuneus","left","Cortical.Thickness",2.05681777000427,1,"Cortical Thickness"
"cuneus","left","PC1.AHBA",2.35225105285645,61,"Gene Expression"
"cuneus","left","PC1.Neurosynth",0.00012471224181354,39,"Neurosynth"
"cuneus","left","PET.AG",-0.311881989240646,17,"Aerobic Glycosis"
"cuneus","left","T1T2ratio",1.51835799217224,63,"Anatomical Hierarchy"
"cuneus","left","SensorimotorAssociation_Axis",3434.34936523438,3,"Sensorimotor-Association Axis"
"cuneus","left","G1.fMRI_1",-4.40622282028198,5,"Functional Hierarchy"
"cuneus","left","Evolution.Expansion",-1.58970439434052,3,"Evolutionary Expansion"
"entorhinal","left","AllometricScaling.PNC20mm",0.773637712001801,7,"Allometric Scaling"
"entorhinal","left","BigBrain.Histology",-0.342423617839813,4,"Externopyramidization"
"entorhinal","left","CBF",7.14274740219116,2,"Cerebral Blood Flow"
"entorhinal","left","Cortical.Thickness",3.157963514328,63,"Cortical Thickness"
"entorhinal","left","PC1.AHBA",-2.15618586540222,4,"Gene Expression"
"entorhinal","left","PC1.Neurosynth",0.0015010986244306,63,"Neurosynth"
"entorhinal","left","PET.AG",-0.341064214706421,16,"Aerobic Glycosis"
"entorhinal","left","T1T2ratio",1.17725038528442,8,"Anatomical Hierarchy"
"entorhinal","left","SensorimotorAssociation_Axis",35155.31640625,38,"Sensorimotor-Association Axis"
"entorhinal","left","G1.fMRI_1",1.22738206386566,37,"Functional Hierarchy"
"entorhinal","left","Evolution.Expansion",0.00444494048133492,20,"Evolutionary Expansion"
